Model,Scenario,Region,Variable,Unit,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
GCAM-PR 5.3,Current Policies,World,Capacity Additions Electricity,GW/yr,0,0,0,0,2.582174443,1.735138502,7.754107131,7.641078418,10.65791979,15.54297328,20.73049065,24.51290931,29.91391535,29.65790379,26.95949264,31.49720805,36.56046993,39.07638672,40.71620505,38.49140752
GCAM-PR 5.3,Current Policies,USA,Capacity Additions Electricity,GW/yr,0,0,0,16.8251101,10.46595525,7.593315249,5.051506728,1.723902132,3.889142241,3.408129551,3.543705839,2.120371186,1.511912847,0.453336319,0.482262823,0.316057156,0.325316613,0.182581149,0.136609755,0.051738186
GCAM-PR 5.3,Current Policies,World,Capacity Additions Electricity,GW/yr,0,0,0,62.11490663,41.98329357,39.95725973,30.74445722,23.39401013,17.61188778,29.28544524,24.07585312,24.00450328,22.74594617,18.69377712,11.26805466,13.63189898,11.72836187,11.43078884,9.925512612,8.928270364
GCAM-PR 5.3,Current Policies,USA,Capacity Additions Electricity,GW/yr,0,0,0,2.299646964,2.643950476,1.558997125,1.811328852,1.003077259,1.932851344,1.926237387,2.497698574,2.243333897,2.699921783,1.678484554,2.674501099,2.466909775,3.317820198,2.966389734,3.268061898,2.224575089
GCAM-PR 5.3,Current Policies,World,Capacity Additions Electricity,GW/yr,0,0,0,20.45909392,20.08409031,18.37258445,19.49133207,8.712536974,18.79994793,21.80290667,24.17953215,25.12610289,26.55855102,25.68818502,24.49485979,26.25488213,28.47785829,28.83881149,29.49696586,28.8439392
GCAM-PR 5.3,Current Policies,USA,Capacity Additions Electricity,GW/yr,0,0,0,0,2.149704747,2.810715796,5.415293985,2.790913383,6.287524663,6.834269125,8.013170134,5.832004341,6.311567027,3.884376233,6.02690752,5.308741333,6.621547156,5.352197841,5.747204606,3.78498647
GCAM-PR 5.3,Current Policies,World,Capacity Additions Electricity,GW/yr,0,0,0,51.34397768,58.36980814,55.3246641,69.36743181,28.93821013,104.4936036,149.6851112,155.8603127,158.2333698,192.2884145,133.3424205,176.7645632,175.4360035,168.2023948,150.0409403,161.3853188,114.6154004
GCAM-PR 5.3,Current Policies,USA,Capacity Additions Electricity,GW/yr,0,0,0,0.622455979,0.470629941,0.306027242,0.415010552,0.227660948,0.552773535,0.619621111,0.733477949,0.529616116,0.566452084,0.340140291,0.537716029,0.48607509,0.632924815,0.528167211,0.579000733,0.396889068
GCAM-PR 5.3,Current Policies,World,Capacity Additions Electricity,GW/yr,0,0,0,12.95402834,11.92346158,13.81436864,15.97962668,16.02320818,11.7662854,22.47583832,22.33725805,24.66198405,27.68054739,26.33866189,17.90047036,20.30564497,19.15027097,16.88575858,14.58783532,14.76373588
GCAM-PR 5.3,Current Policies,USA,Capacity Additions Electricity,GW/yr,0,0,0,0,0.295047565,0.199969796,0.334072489,0.191225187,0.439368658,0.487591483,0.556023354,0.39893685,0.446949439,0.292211045,0.476169616,0.439729198,0.579892345,0.493539209,0.549934995,0.384085569
GCAM-PR 5.3,Current Policies,World,Capacity Additions Electricity,GW/yr,0,0,0,0,1.842531985,1.648825728,9.294000224,5.379590031,6.469521759,9.975126253,12.56524399,14.0019072,15.93840198,15.62487222,12.14223477,13.78093506,13.81748165,12.78049696,11.49773502,11.87827697
GCAM-PR 5.3,Current Policies,USA,Capacity Additions Electricity,GW/yr,0,0,0,0.622455979,0.175582376,0.106057446,0.080938064,0.03643576,0.113404877,0.132029628,0.177454594,0.130679266,0.119502645,0.047929247,0.061546413,0.046345892,0.05303247,0.034628002,0.029065738,0.012803499
